,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,same_count_pos,same_count_neg,sibling_count_pos,sibling_count_neg
43,43,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_25600.json,False,25600,0.1,0.9,97691,63979,1181,247
44,44,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_3200.json,False,3200,0,0.8,109057,72667,2593,883
45,45,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_12800.json,False,12800,0.05,0.8,99153,65721,4407,1532
46,46,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_12800.json,False,12800,0.2,0.9,101121,67354,936,192
47,47,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_800.json,False,800,0.2,0.8,110455,73626,805,291
48,48,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_6400.json,False,6400,0,0.8,105726,70351,3370,1136
49,49,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_1600.json,False,1600,0.05,0.7,104914,69592,5067,2038
50,50,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_6400.json,False,6400,0.1,0.9,106926,71168,754,160
51,51,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_6400.json,False,6400,0.005,0.7,104854,69020,7708,3203
52,52,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_25600.json,False,25600,0.05,0.7,96298,62784,10191,4279
53,53,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_3200.json,False,3200,0.2,0.8,109573,73019,2212,716
54,54,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_12800.json,False,12800,0,0.7,100212,65658,8827,3634
55,55,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_25600.json,False,25600,0,0.8,95488,63194,5327,1834
56,56,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_25600.json,False,25600,0.005,0.8,95529,63186,5335,1837
57,57,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_800.json,False,800,0.1,0.8,110053,73128,1082,392
58,58,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_6400.json,False,6400,0.2,0.8,105225,69891,2941,957
59,59,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_6400.json,False,6400,0.1,0.8,105073,69993,3465,1183
60,60,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_3200.json,False,3200,0.005,0.9,112999,75183,596,106
61,61,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_25600.json,False,25600,0.05,0.9,98002,64158,1201,251
62,62,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_6400.json,False,6400,0.005,0.9,107206,71239,759,162
63,63,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_3200.json,False,3200,0.1,0.8,109013,72659,2623,906
64,64,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_51200.json,False,51200,0.2,0.7,95615,62323,9838,4033
65,65,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_51200.json,False,51200,0.005,0.9,96421,62805,1424,305
66,66,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_800.json,False,800,0.005,0.9,112948,75422,232,43
67,67,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_1600.json,False,1600,0.1,0.7,104464,69427,5190,2084
68,68,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_51200.json,False,51200,0,0.9,96321,62739,1422,305
69,69,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_51200.json,False,51200,0.1,0.8,94803,61784,6111,2161
70,70,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_51200.json,False,51200,0.05,0.8,94952,61675,6167,2131
71,71,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_3200.json,False,3200,0,0.7,106000,70124,6506,2596
72,72,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_51200.json,False,51200,0.2,0.9,96197,62602,1264,280
73,73,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_1600.json,False,1600,0.2,0.7,106451,70663,4598,1854
74,74,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_800.json,False,800,0.005,0.7,106276,70761,3001,1223
75,75,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_6400.json,False,6400,0,0.7,105017,69085,7640,3138
76,76,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_800.json,False,800,0.1,0.9,112948,75422,232,43
77,77,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_12800.json,False,12800,0.2,0.8,98563,65617,3853,1324
