,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
21,21,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_800.json,False,800,0.2,0.9,0.0825,0.09125,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.943525228359488,0.5625169128391304,0.01702639206283603,0.01184285019696651
22,22,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_12800.json,False,12800,0.05,0.9,0.196640625,0.27140625,3.72828125,1.2242491631836008,0.984375,0.9396875,0.894609375,2.613712651545634,0.8175169087910996,0.09168674752880764,0.06204354383054249
23,23,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_51200.json,False,51200,0.005,0.7,0.057203637924977555,0.9340723681642531,4.22639447285218,1.1219859500624818,0.6990124516960069,0.46364026698934385,0.32799875092704633,2.9024803991727413,0.8984605355366244,0.14129006994181245,0.5039589965058611
24,24,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_1600.json,False,1600,0,0.7,0.0825,0.696875,2.873125,0.5997937810092198,0.988125,0.966875,0.950625,2.041668823691226,0.6137971540948912,0.05124684324646453,0.1458389450576546
25,25,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_800.json,False,800,0,0.8,0.135,0.36875,2.57,0.6169081938583423,0.98375,0.98,0.9775,1.891819216210478,0.5629449345175326,0.04897198841253648,0.035947592541906395
26,26,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_6400.json,False,6400,0.2,0.7,0.12484375,0.81375,3.35375,0.65449627163873,0.999375,0.99921875,0.99890625,2.428654775420856,0.687757493125854,0.10793493839868074,0.2997727430147539
27,27,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_51200.json,False,51200,0,0.7,0.05669921875,0.93458984375,4.2494140625,1.1650202829354808,0.69421875,0.46232421875,0.32748046875,2.8994363345865057,0.8984978331577314,0.1411027042101136,0.5026473088947272
28,28,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_800.json,False,800,0.05,0.7,0.0625,0.5225,2.60125,0.6286831400739696,0.995,0.99375,0.99375,1.8902472229505571,0.5817030183711511,0.02916936748656254,0.08465413998846112
29,29,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_3200.json,False,3200,0.05,0.8,0.18625,0.5690625,3.043125,0.6271069518852782,0.99875,0.998125,0.9946875,2.2528010683963893,0.6177557427346551,0.11738685606075262,0.1177013837794115
30,30,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_25600.json,False,25600,0.005,0.7,0.063125,0.9210546875,4.0357421875,1.0026780792147667,0.8103515625,0.650703125,0.53375,2.700473905767365,0.8053606357439139,0.12472008044937012,0.42269277145712203
31,31,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_1600.json,False,1600,0.005,0.8,0.17625,0.480625,2.819375,0.5943234574771277,0.996875,0.989375,0.985625,2.0696594026133828,0.6008743751735522,0.08538362820504786,0.07227246743233876
32,32,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_6400.json,False,6400,0.05,0.8,0.1746875,0.67203125,3.406875,0.7218702485401773,0.999375,0.975625,0.94125,2.4054621405629573,0.6884814788000762,0.14117658314729217,0.16348793068244902
33,33,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_3200.json,False,3200,0,0.9,0.135,0.1671875,3.0978125,0.791164218952312,0.9928125,0.986875,0.9821875,2.2882700351769043,0.6189722008577101,0.05130065186696569,0.03521920510869759
34,34,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_12800.json,False,12800,0,0.9,0.196796875,0.285234375,3.746953125,1.1039205634240254,0.965078125,0.921640625,0.8790625,2.6083799954917612,0.8022932405273655,0.09171625257832594,0.06163542966440028
35,35,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_12800.json,False,12800,0.1,0.8,0.171953125,0.736015625,3.6659375,0.6648537656724861,0.999609375,0.9415625,0.848125,2.5825319870271835,0.7681522557074822,0.1685504330789312,0.2204865214724392
36,36,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_25600.json,False,25600,0.1,0.7,0.081796875,0.9006640625,3.8678125,0.8933232269170669,0.988046875,0.7836328125,0.6035546875,2.777631436389893,0.8537003626957628,0.13472706243119453,0.45495382337067364
37,37,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_6400.json,False,6400,0.2,0.9,0.1609375,0.18359375,3.42578125,0.6947603887478686,0.999375,0.99921875,0.99171875,2.450849475577383,0.7043922829519037,0.06691611320669442,0.0462728575017624
38,38,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_3200.json,False,3200,0.2,0.9,0.1315625,0.1409375,3.060625,0.6350792459529756,0.99875,0.9984375,0.9984375,2.294707375862398,0.6217103202573376,0.04991713096833345,0.03503835415257858
39,39,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_12800.json,False,12800,0.2,0.7,0.106796875,0.859609375,3.6371875,0.6124664445620748,0.999609375,0.997421875,0.91109375,2.6030760991400586,0.762385969361181,0.12494418809696677,0.3746433773816461
40,40,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_25600.json,False,25600,0.2,0.8,0.1929296875,0.740078125,3.874609375,1.000634512821315,0.9986328125,0.833671875,0.6508984375,2.80030806655959,0.8728786875977186,0.20468301672343242,0.274618682199094
41,41,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_12800.json,False,12800,0.005,0.9,0.197109375,0.2846875,3.74421875,1.0970049996848428,0.966015625,0.922421875,0.8796875,2.60860388232298,0.8022796552786075,0.09173650477744555,0.06165251039907941
